Site_ID,Name,Lat,Lon,ann_GPP,upper_GPP,ann_ER,lower_ER,ndays,nyears,coverage,Elev,IGBP,MATemp_C,MAPrecip_mm
AR-SLu,San Luis,-33.4648,-66.4598,2577.91,10.502259999999998,-1100.84,-4.733713,1093,3,1,NA,MF,NA,400
AR-Vir,Virasoro,-28.2395,-56.1886,4506.903333333334,20.3249,-5258.123333333333,-25.7785,1086,3,0.99,NA,ENF,NA,NA
AT-Neu,Neustift,47.1167,11.3175,2246.0736363636365,17.431359999999998,-2605.369090909091,-16.863989999999998,3493,11,0.87,970,GRA,6.5,852
AU-Ade,Adelaide River,-13.0769,131.1178,1216.3086666666668,8.838397500000001,-1048.3366666666666,-6.4582425,1096,3,1,NA,WSA,NA,NA
AU-ASM,Alice Springs,-22.283,133.249,448.92633333333333,3.3553225,-377.91200000000003,-2.450639,1366,4,0.94,NA,SAV,NA,NA
AU-Cpr,Calperum,-34.0021,140.5891,462.79872,2.9313854999999993,-352.3216,-2.2375075,1670,5,0.91,NA,SAV,NA,NA
AU-Cum,Cumberland Plains,-33.6133,150.7225,1212.8033333333333,4.94145,-916.1893333333334,-4.9696875,1095,3,1,NA,EBF,NA,NA
AU-DaP,Daly River Savanna,-14.0633,131.3181,1205.9044,11.378364999999995,-1070.7846,-6.9299875,1608,5,0.88,NA,GRA,27.25,983.78
AU-DaS,Daly River Cleared,-14.1593,131.3881,1592.0914285714287,8.425445999999999,-1349.442857142857,-6.756742,2549,7,1,NA,SAV,27.22,975.82
AU-Dry,Dry River,-15.2588,132.3706,1232.863,6.007075499999999,-909.4830000000001,-4.448114,2550,7,1,NA,SAV,NA,NA
AU-Emr,"Emerald, Queensland, Australia",-23.8587,148.4746,452.0576666666667,3.425128999999996,-520.322,-2.4312674999999997,999,3,0.91,NA,GRA,NA,NA
AU-Fog,Fogg Dam,-12.5452,131.3072,916.1843333333334,6.126331999999998,-435.5283333333333,-3.7343824999999997,1084,3,0.99,NA,WET,27.02,1323.69
AU-Gin,Gingin,-31.3764,115.7138,1241.86,5.46321,-961.4245000000001,-4.34319,1461,4,1,NA,WSA,NA,NA
AU-GWW,"Great Western Woodlands, Western Australia, Australia",-30.1913,120.6541,459.204,2.140933,-355.09799999999996,-2.0406155000000004,727,2,1,NA,SAV,NA,NA
AU-How,Howard Springs,-12.4943,131.1523,1846.2984285714285,9.97457,-1209.3916428571429,-6.173512,5021,14,0.98,NA,WSA,27.01,1449.35
AU-Lox,Loxton,-34.4704,140.6551,1541.825,12.69865,-941.306,-6.83822,731,2,1,NA,DBF,NA,NA
AU-RDF,"Red Dirt Melon Farm, Northern Territory",-14.5636,132.4776,762.9353333333333,7.269886,-725.8516666666667,-5.871509999999999,918,3,0.84,NA,WSA,NA,NA
AU-Rig,Riggs Creek,-36.6499,145.5759,1057.9275,7.7999575,-908.17075,-4.51452,1346,4,0.92,NA,GRA,NA,NA
AU-Rob,"Robson Creek, Queensland, Australia",-17.1175,145.6301,1994.35,8.650185999999998,-1250.4,-7.644694,362,1,0.99,NA,EBF,NA,NA
AU-Stp,Sturt Plains,-17.1507,133.3502,422.087,4.5230595000000005,-340.04068,-2.3950799999999997,1412,5,0.77,NA,GRA,NA,NA
AU-Tum,Tumbarumba,-35.6566,148.1517,3403.79,17.794454999999992,-2721.067857142857,-15.228539999999999,5024,14,0.98,1200,EBF,10.72,1159.01
AU-Wac,Wallaby Creek,-37.4259,145.1878,2253.6675,10.931260000000002,-765.64975,-5.87988,1457,4,1,NA,EBF,12.76,1105.59
AU-Whr,Whroo,-36.6732,145.0294,1499.8275,6.5009275,-946.97725,-4.13252,1460,4,1,NA,EBF,NA,NA
AU-Wom,Wombat,-37.4222,144.0944,2366.275,10.84033,-1266.355,-6.665711999999999,1094,3,1,705,EBF,NA,NA
AU-Ync,Jaxa,-34.9893,146.2907,347.785,3.9655719999999994,-309.23,-1.551542,309,1,0.85,NA,GRA,NA,NA
BE-Bra,Brasschaat,51.3092,4.5206,1388.3553333333334,9.974615999999997,-1276.3782,-6.446597999999999,5048,15,0.92,16,MF,9.8,750
BE-Lon,Lonzee,50.5516,4.7461,1348.6663636363637,16.8877,-1010.6766363636364,-7.281158,3421,11,0.85,167,CRO,10,800
BE-Vie,Vielsalm,50.3051,5.9981,1817.3594736842106,11.564879999999999,-1291.7578947368422,-7.583440500000001,6719,19,0.97,493,MF,7.8,1062
BR-Sa3,Santarem-Km83-Logged Forest,-3.018,-54.9714,3233.936,11.974200000000002,-3032.9,-12.163390000000001,1827,5,1,100,EBF,26.12,2043.77
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),55.8796,-98.4808,718.5911428571428,7.282235499999996,-689.5927857142857,-6.6071265,3860,14,0.75,259,ENF,-3.2,520
